ID,LEVEL_ID,ELEVATION,WINDOW_FORM,WINDOW_STYLE,WIDTH,HEIGHT,TAPERING,AREA,PERIMETER,IMPOST_LENGTH
"163402","162648","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163403","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163404","162648","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163453","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163454","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163455","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163456","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163457","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163458","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163459","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163460","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163461","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163462","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163463","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163464","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163465","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163466","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163467","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163468","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163469","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163470","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163471","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163472","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163473","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163474","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163475","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163483","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163484","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163485","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163486","162649","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163487","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163488","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163489","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163490","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163491","162649","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163492","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163493","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163494","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163495","162649","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163544","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163545","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163546","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163547","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163548","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163549","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163550","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163551","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163552","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163553","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163554","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163555","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163556","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163557","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163558","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163559","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163560","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163561","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163562","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163563","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163564","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163565","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163566","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163574","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163575","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163576","162650","750","2","2","1800","1800","0","2.54469","5.65487","0"
"163577","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163578","162650","900","2","2","1500","1500","0","1.76715","4.71239","0"
"163579","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163580","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163581","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163582","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163583","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163584","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163585","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"163586","162650","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165347","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165348","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165349","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165350","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165351","164099","900","2","2","1500","1500","0","1.76715","4.71239","0"
"165352","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165353","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165354","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165355","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165356","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165357","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165358","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165359","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165360","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165361","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165362","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165363","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165364","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165365","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165366","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165367","164099","900","2","2","1500","1500","0","1.76715","4.71239","0"
"165368","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165369","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165377","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165378","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165379","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165380","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165381","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165382","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165383","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165384","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165385","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165386","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165387","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165388","164099","750","2","2","1800","1800","0","2.54469","5.65487","0"
"165389","164099","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165438","164100","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165439","164100","550","2","2","2200","2200","0","3.80133","6.9115","0"
"165440","164100","750","2","2","1800","1800","0","2.54469","5.65487","0"
